title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Training Day,104,62,37,5,True,Action
True Lies,8,2,2,4,True,Action
True Romance,94,64,23,7,True,Action
Twilight,0,0,0,0,[],Action
Twilight: New Moon,0,0,0,0,[],Action
Twin Peaks,4,2,2,0,True,Action
Two For The Money,95,85,7,3,True,Action
U Turn,52,39,12,1,True,Action
Unbreakable,2,1,1,0,True,Action
Unknown,3,1,1,1,True,Action
"Usual Suspects, The",31,27,4,0,True,Action
V for Vendetta,7,6,1,0,True,Action
Valkyrie,5,4,1,0,True,Action
Vanilla Sky,28,25,3,0,True,Action
Vertigo,0,0,0,0,[],Action
Very Bad Things,60,57,3,0,True,Action
"Village, The",0,0,0,0,[],Action
Virtuosity,8,5,2,1,True,Action
Walking Tall,1,1,0,0,True,Action
Wanted,26,18,6,2,True,Action
War of the Worlds,2,0,2,0,True,Action
Watchmen,1,0,1,0,True,Action
We Own the Night,20,15,5,0,True,Action
What Lies Beneath,5,5,0,0,True,Action
When a Stranger Calls,0,0,0,0,[],Action
While She Was Out,13,4,4,5,True,Action
"Whistleblower, The",17,17,0,0,True,Action
White Jazz,36,29,6,1,True,Action
Whiteout,4,3,1,0,True,Action
Who Framed Roger Rabbit?,0,0,0,0,[],Action
Wild At Heart,26,16,8,2,True,Action
Wild Things: Diamonds in the Rough,0,0,0,0,[],Action
Wind Chill,5,1,4,0,True,Action
Witness,3,1,1,1,True,Action
"World is not Enough, The",0,0,0,0,[],Action
"X-Files: Fight the Future, The",0,0,0,0,[],Action
X-Men Origins: Wolverine,0,0,0,0,[],Action
xXx,4,0,2,2,True,Action
Zero Dark Thirty,38,35,2,1,True,Action
