title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Dawn of the Dead,5,2,3,0,True,Crime
Day of the Dead,10,1,9,0,True,Crime
"Day the Clown Cried, The",0,0,0,0,[],Crime
"Day the Earth Stood Still, The",0,0,0,0,[],Crime
Days of Heaven,3,1,2,0,True,Crime
Dead Poets Society,1,0,1,0,True,Crime
Deadpool,19,15,4,0,True,Crime
Dear White People,38,26,5,7,True,Crime
Death at a Funeral,8,3,5,0,True,Crime
Death to Smoochy,34,32,2,0,True,Crime
"Debt, The",22,21,1,0,True,Crime
Deception,2,2,0,0,True,Crime
Deep Cover,32,25,5,2,True,Crime
Deep Rising,22,3,18,1,True,Crime
"Deer Hunter, The",33,31,2,0,True,Crime
Defiance,15,6,9,0,True,Crime
"Departed, The",127,117,9,1,True,Crime
"Descendants, The",28,19,8,1,True,Crime
Despicable Me 2,0,0,0,0,[],Crime
Detroit Rock City,27,16,9,2,True,Crime
Devil in a Blue Dress,4,1,3,0,True,Crime
"Devil Wears Prada, The",0,0,0,0,[],Crime
Devil's Advocate,46,43,2,1,True,Crime
Die Hard,26,22,4,0,True,Crime
Die Hard 2,45,38,7,0,True,Crime
Diner,6,4,1,1,True,Crime
"Distinguished Gentleman, The",17,8,8,1,True,Crime
Disturbia,14,2,11,1,True,Crime
Django Unchained,33,19,11,3,True,Crime
Do The Right Thing,37,32,5,0,True,Crime
Dog Day Afternoon,31,27,2,2,True,Crime
Dogma,85,55,24,6,True,Crime
Donnie Brasco,200,197,3,0,True,Crime
Donnie Darko,0,0,0,0,[],Crime
"Doors, The",94,84,10,0,True,Crime
Double Indemnity,0,0,0,0,[],Crime
Drag Me to Hell,3,3,0,0,True,Crime
Dragonslayer,0,0,0,0,[],Crime
Drive,41,41,0,0,True,Crime
Drive Angry,53,44,4,5,True,Crime
Drop Dead Gorgeous,4,2,0,2,True,Crime
"Dry White Season, A",3,3,0,0,True,Crime
Duck Soup,0,0,0,0,[],Crime
Dumb and Dumber,6,2,2,2,True,Crime
Dune,0,0,0,0,[],Crime
E.T.,0,0,0,0,[],Crime
Eagle Eye,22,17,5,0,True,Crime
Eastern Promises,32,29,0,3,True,Crime
Easy A,35,33,1,1,True,Crime
Ed TV,4,0,4,0,True,Crime
Ed Wood,9,7,1,1,True,Crime
Edward Scissorhands,1,0,1,0,True,Crime
Eight Legged Freaks,1,1,0,0,True,Crime
El Mariachi,0,0,0,0,[],Crime
Election,11,8,0,3,True,Crime
"Elephant Man, The",0,0,0,0,[],Crime
Elizabeth: The Golden Age,0,0,0,0,[],Crime
Enemy of the State,18,18,0,0,True,Crime
"English Patient, The",8,8,0,0,True,Crime
Enough,3,3,0,0,True,Crime
Entrapment,21,17,3,1,True,Crime
Equilibrium,0,0,0,0,[],Crime
Erik the Viking,0,0,0,0,[],Crime
Erin Brockovich,44,27,13,4,True,Crime
Escape From L.A.,6,2,4,0,True,Crime
Escape From New York,8,3,3,2,True,Crime
Eternal Sunshine of the Spotless Mind,25,24,1,0,True,Crime
Even Cowgirls Get the Blues,12,3,8,1,True,Crime
Event Horizon,9,8,1,0,True,Crime
Evil Dead,1,0,1,0,True,Crime
Evil Dead II: Dead by Dawn,0,0,0,0,[],Crime
Ex Machina,18,17,1,0,True,Crime
Excalibur,0,0,0,0,[],Crime
Executive Decision,0,0,0,0,[],Crime
eXistenZ,0,0,0,0,[],Crime
Extract,5,0,5,0,True,Crime
Eyes Wide Shut,0,0,0,0,[],Crime
"Fabulous Baker Boys, The",26,24,2,0,True,Crime
Face Off,13,10,3,0,True,Crime
Fair Game,20,18,1,1,True,Crime
"Family Man, The",3,1,2,0,True,Crime
Fantastic Four,0,0,0,0,[],Crime
Fantastic Mr Fox,0,0,0,0,[],Crime
Fargo,37,36,0,1,True,Crime
Fast Times at Ridgemont High,8,7,1,0,True,Crime
Fatal Instinct,0,0,0,0,[],Crime
"Fault in Our Stars, The",7,3,4,0,True,Crime
Fear and Loathing in Las Vegas,49,38,9,2,True,Crime
Feast,19,13,5,1,True,Crime
Ferris Bueller's Day Off,8,0,7,1,True,Crime
Field of Dreams,5,4,1,0,True,Crime
"Fifth Element, The",9,7,2,0,True,Crime
Fight Club,40,31,7,2,True,Crime
"Fighter, The",24,20,4,0,True,Crime
Final Destination,20,18,2,0,True,Crime
Final Destination 2,26,17,7,2,True,Crime
Finding Nemo,0,0,0,0,[],Crime
Five Easy Pieces,6,1,4,1,True,Crime
Flash Gordon,0,0,0,0,[],Crime
Fletch,0,0,0,0,[],Crime
Flight,56,48,7,1,True,Crime
"Flintstones, The",0,0,0,0,[],Crime
Forrest Gump,6,3,2,1,True,Crime
Four Feathers,0,0,0,0,[],Crime
Four Rooms,50,44,4,2,True,Crime
Foxcatcher,7,5,2,0,True,Crime
Fracture,2,2,0,0,True,Crime
Frances,8,7,0,1,True,Crime
Frankenstein,0,0,0,0,[],Crime
Frankenweenie,0,0,0,0,[],Crime
Freaked,3,2,1,0,True,Crime
Freddy vs. Jason,42,5,2,35,True,Crime
"French Connection, The",6,2,4,0,True,Crime
Frequency,14,13,1,0,True,Crime
Friday the 13th,2,2,0,0,True,Crime
Friday the 13th Part VIII: Jason Takes Manhattan,0,0,0,0,[],Crime
Fright Night,14,9,4,1,True,Crime
Fright Night (1985),3,3,0,0,True,Crime
From Dusk Till Dawn,70,44,25,1,True,Crime
From Here to Eternity,0,0,0,0,[],Crime
Frozen,24,21,3,0,True,Crime
Frozen (Disney),0,0,0,0,[],Crime
Frozen River,2,2,0,0,True,Crime
Fruitvale Station,79,55,17,7,True,Crime
"Fugitive, The",0,0,0,0,[],Crime
Full Metal Jacket,0,0,0,0,[],Crime
Funny People,105,81,22,2,True,Crime
Fury,0,0,0,0,[],Crime
G.I. Jane,15,8,6,1,True,Crime
G.I. Joe: The Rise of Cobra,0,0,0,0,[],Crime
Game 6,0,0,0,0,[],Crime
"Game, The",51,42,9,0,True,Crime
Gamer,39,28,10,1,True,Crime
