title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Heathers,54,27,19,7,1,True
Heavenly Creatures,0,0,0,0,0,[]
Heavy Metal,6,1,3,2,0,True
"Hebrew Hammer, The",20,7,11,2,0,True
Heist,17,13,3,1,0,True
Hellbound: Hellraiser II,0,0,0,0,0,[]
Hellboy,0,0,0,0,0,[]
Hellboy 2: The Golden Army,0,0,0,0,0,[]
Hellraiser,21,11,8,2,0,True
Hellraiser 3: Hell on Earth,0,0,0,0,0,[]
Hellraiser: Deader,0,0,0,0,0,[]
Hellraiser: Hellseeker,0,0,0,0,0,[]
"Help, The",6,0,6,0,0,True
Henry Fool,25,14,11,0,0,True
Henry's Crime,20,10,8,2,0,True
Her,33,28,5,0,0,True
Hesher,88,68,18,2,0,True
High Fidelity,68,59,9,0,0,True
Highlander,3,0,1,2,0,True
Highlander: Endgame,0,0,0,0,0,[]
"Hills Have Eyes, The",11,7,3,1,0,True
His Girl Friday,0,0,0,0,0,[]
Hitchcock,0,0,0,0,0,[]
"Hitchhiker's Guide to the Galaxy, The",1,0,1,0,0,True
Hollow Man,32,15,17,0,0,True
Honeydripper,1,0,1,0,0,True
Horrible Bosses,60,40,16,4,0,True
"Horse Whisperer, The",8,1,7,0,0,True
"Hospital, The",7,1,1,5,0,True
Hostage,62,45,16,1,0,True
Hot Tub Time Machine,76,54,21,1,0,True
Hotel Rwanda,9,7,2,0,0,True
House of 1000 Corpses,105,76,21,8,0,True
How to Lose Friends & Alienate People,0,0,0,0,0,[]
How to Train Your Dragon,0,0,0,0,0,[]
How to Train Your Dragon 2,0,0,0,0,0,[]
Hudson Hawk,24,14,8,2,0,True
"Hudsucker Proxy, The",0,0,0,0,0,[]
Human Nature,24,13,5,5,1,True
"Hunt for Red October, The",3,3,0,0,0,True
"Hurt Locker, The",44,28,16,0,0,True
I Am Number Four,1,0,1,0,0,True
I am Sam,2,1,1,0,0,True
I Love You Phillip Morris,44,32,8,4,0,True
I Spit on Your Grave,53,21,22,9,1,True
I Still Know What You Did Last Summer,0,0,0,0,0,[]
I'll Do Anything,20,9,11,0,0,True
"I, Robot",2,0,2,0,0,True
"Ice Storm, The",19,3,16,0,0,True
"Ides of March, The",62,49,13,0,0,True
"Imaginarium of Doctor Parnassus, The",3,1,1,1,0,True
In the Bedroom,10,4,3,3,0,True
In the Loop,168,140,24,2,2,True
Inception,1,0,1,0,0,True
"Incredibles, The",0,0,0,0,0,[]
Independence Day,6,2,3,1,0,True
Indiana Jones and the Last Crusade,0,0,0,0,0,[]
Indiana Jones and the Raiders of the Lost Ark,1,0,1,0,0,True
Indiana Jones and the Temple of Doom,0,0,0,0,0,[]
Indiana Jones IV,2,0,0,2,0,True
"Informant, The",17,10,7,0,0,True
Inglourious Basterds,35,28,4,2,1,True
Innerspace,0,0,0,0,0,[]
"Insider, The",39,36,3,0,0,True
Insidious,14,8,3,2,1,True
Insomnia,27,18,8,1,0,True
Interstellar,0,0,0,0,0,[]
Interview with the Vampire,3,0,3,0,0,True
Into the Wild,6,2,4,0,0,True
Into the Woods,0,0,0,0,0,[]
Intolerable Cruelty,6,1,4,1,0,True
Inventing the Abbotts,30,15,15,0,0,True
"Invention of Lying, The",29,18,8,3,0,True
Invictus,1,0,1,0,0,True
"Iron Lady, The",0,0,0,0,0,[]
"Island, The",20,18,2,0,0,True
It,24,9,15,0,0,True
It Happened One Night,0,0,0,0,0,[]
It Happened One Night,0,0,0,0,0,[]
It's a Wonderful Life,0,0,0,0,0,[]
It's Complicated,2,0,1,1,0,True
"Italian Job, The",18,5,13,0,0,True
"Jacket, The",22,15,7,0,0,True
Jackie Brown,111,55,50,6,0,True
Jacob's Ladder,31,15,13,3,0,True
Jade,0,0,0,0,0,[]
Jane Eyre,0,0,0,0,0,[]
Jason X,59,17,33,8,1,True
Jaws,1,0,1,0,0,True
Jaws 2,14,0,12,2,0,True
Jay and Silent Bob Strike Back,250,161,61,28,0,True
Jennifer Eight,67,45,20,2,0,True
Jennifer's Body,33,17,12,4,0,True
Jerry Maguire,23,14,8,1,0,True
Jeux Interdits,0,0,0,0,0,[]
JFK,36,23,10,3,0,True
Jimmy and Judy,139,101,31,7,0,True
John Q,13,1,8,4,0,True
John Wick,29,26,2,1,0,True
Joker,45,33,11,1,0,True
Judge Dredd,10,7,1,2,0,True
Juno,10,2,6,2,0,True
Jurassic Park,8,0,8,0,0,True
Jurassic Park III,2,0,2,0,0,True
Jurassic Park: The Lost World,0,0,0,0,0,[]
Kafka,0,0,0,0,0,[]
Kalifornia,34,21,9,4,0,True
Kate & Leopold,0,0,0,0,0,[]
Kids,116,67,37,12,0,True
"Kids Are All Right, The",34,26,7,1,0,True
Kill Bill Volume 1 & 2,0,0,0,0,0,[]
Kill Your Darlings,17,11,4,2,0,True
Killing Zoe,98,79,16,3,0,True
King Kong,0,0,0,0,0,[]
"King of Comedy, The",0,0,0,0,0,[]
"King's Speech, The",7,4,3,0,0,True
"Kingdom, The",15,12,3,0,0,True
Kiss of the Spider Woman,0,0,0,0,0,[]
Klute,3,0,0,3,0,True
Knocked Up,136,89,41,5,1,True
Kramer vs Kramer,11,2,7,2,0,True
Kundun,0,0,0,0,0,[]
Kung Fu Panda,0,0,0,0,0,[]
L.A. Confidential,37,28,8,0,1,True
La La Land,7,3,4,0,0,True
Labor of Love,9,2,6,1,0,True
Labyrinth,0,0,0,0,0,[]
"Ladykillers, The",54,34,14,6,0,True
Lake Placid,14,9,5,0,0,True
Land of the Dead,36,28,8,0,0,True
Larry Crowne,4,1,2,1,0,True
"Last Boy Scout, The",175,116,42,17,0,True
Last Chance Harvey,9,3,6,0,0,True
"Last Flight, The",0,0,0,0,0,[]
"Last of the Mohicans, The",0,0,0,0,0,[]
"Last Samurai, The",5,2,2,1,0,True
"Last Station, The",1,0,0,1,0,True
Last Tango in Paris,29,18,9,0,2,True
Law Abiding Citizen,62,37,22,3,0,True
Le Diable par la Queue,0,0,0,0,0,[]
Leaving Las Vegas,37,35,2,0,0,True
Legally Blonde,7,2,1,4,0,True
