title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Cradle 2 the Grave,46,24,19,3,0,TRUE
Crank,75,31,31,13,0,TRUE
Crash,3,2,0,1,0,TRUE
"Crazy, Stupid, Love",14,5,8,1,0,TRUE
Crazylove,10,8,0,2,0,TRUE
Creation,2,0,2,0,0,TRUE
Crime Spree,22,13,8,1,0,TRUE
The Croods,0,0,0,0,0,[]
"Crouching Tiger, Hidden Dragon",0,0,0,0,0,[]
Croupier,30,18,10,2,0,TRUE
The Crow Salvation,43,32,8,3,0,TRUE
The Crow,36,23,9,4,0,TRUE
The Crow: City of Angels,0,0,0,0,0,[]
Cruel Intentions,50,31,14,5,0,TRUE
Crying Game,78,64,2,7,5,TRUE
Cube,26,24,1,1,0,TRUE
The Curious Case of Benjamin Button,7,2,5,0,0,TRUE
Custody,5,2,2,1,0,TRUE
Dallas Buyers Club,60,32,24,4,0,TRUE
The Damned United,58,57,1,0,0,TRUE
Dances with Wolves,2,0,0,2,0,TRUE
The Danish Girl,0,0,0,0,0,[]
Dark City,5,1,4,0,0,TRUE
The Dark Knight Rises,2,0,0,2,0,TRUE
The Dark Knight,0,0,0,0,0,[]
Dark Star,4,3,1,0,0,TRUE
Darkman,12,7,1,4,0,TRUE
Date Night,14,2,9,3,0,TRUE
Dave Barry's Complete Guide to Guys,7,0,7,0,0,TRUE
Dawn of the Dead,10,2,6,2,0,TRUE
Day of the Dead,15,4,11,0,0,TRUE
The Day the Clown Cried,0,0,0,0,0,[]
The Day the Earth Stood Still,0,0,0,0,0,[]
Days of Heaven,6,1,5,0,0,TRUE
Dead Poets Society,1,0,1,0,0,TRUE
Deadpool,43,24,18,1,0,TRUE
Dear White People,51,30,12,9,0,TRUE
Death at a Funeral,23,3,20,0,0,TRUE
Death to Smoochy,44,35,9,0,0,TRUE
The Debt,26,23,3,0,0,TRUE
Deception,8,6,2,0,0,TRUE
Deep Cover,50,28,17,5,0,TRUE
Deep Rising,26,4,21,1,0,TRUE
The Deer Hunter,45,33,10,2,0,TRUE
Defiance,23,6,16,1,0,TRUE
The Departed,150,130,15,2,3,TRUE
The Descendants,34,21,11,2,0,TRUE
Despicable Me 2,0,0,0,0,0,[]
Detroit Rock City,48,21,23,4,0,TRUE
Devil in a Blue Dress,11,4,7,0,0,TRUE
The Devil Wears Prada,3,0,3,0,0,TRUE
Devil's Advocate,55,46,6,3,0,TRUE
Die Hard,30,23,7,0,0,TRUE
Die Hard 2,56,41,15,0,0,TRUE
Diner,12,4,7,1,0,TRUE
The Distinguished Gentleman,25,8,15,2,0,TRUE
Disturbia,28,2,24,2,0,TRUE
Django Unchained,37,20,13,4,0,TRUE
Do The Right Thing,73,48,24,1,0,TRUE
Dog Day Afternoon,47,28,15,3,1,TRUE
Dogma,120,66,42,12,0,TRUE
Donnie Brasco,209,202,6,1,0,TRUE
Donnie Darko,0,0,0,0,0,[]
The Doors,114,92,18,0,4,TRUE
Double Indemnity,0,0,0,0,0,[]
Drag Me to Hell,6,3,0,3,0,TRUE
Dragonslayer,0,0,0,0,0,[]
Drive,42,41,0,0,1,TRUE
Drive Angry,77,59,10,8,0,TRUE
Drop Dead Gorgeous,11,2,3,6,0,TRUE
"Dry White Season, A",8,3,4,0,1,TRUE
Duck Soup,0,0,0,0,0,[]
Dumb and Dumber,12,3,7,2,0,TRUE
Dune,0,0,0,0,0,[]
E.T.,0,0,0,0,0,[]
Eagle Eye,42,21,21,0,0,TRUE
Eastern Promises,38,33,0,5,0,TRUE
Easy A,48,35,4,6,3,TRUE
Ed TV,5,0,5,0,0,TRUE
Ed Wood,15,8,6,1,0,TRUE
Edward Scissorhands,1,0,1,0,0,TRUE
Eight Legged Freaks,5,1,3,1,0,TRUE
El Mariachi,0,0,0,0,0,[]
Election,14,10,0,3,1,TRUE
The Elephant Man,0,0,0,0,0,[]
Elizabeth: The Golden Age,0,0,0,0,0,[]
Enemy of the State,27,19,8,0,0,TRUE
The English Patient,9,8,0,1,0,TRUE
Enough,6,3,2,1,0,TRUE
Entrapment,36,18,16,2,0,TRUE
Equilibrium,0,0,0,0,0,[]
Erik the Viking,0,0,0,0,0,[]
Erin Brockovich,62,31,26,5,0,TRUE
Escape From L.A.,16,3,13,0,0,TRUE
Escape From New York,12,3,7,2,0,TRUE
Eternal Sunshine of the Spotless Mind,42,29,13,0,0,TRUE
Even Cowgirls Get the Blues,13,3,8,2,0,TRUE
Event Horizon,15,11,3,1,0,TRUE
Evil Dead,2,0,2,0,0,TRUE
Evil Dead II: Dead by Dawn,0,0,0,0,0,[]
Ex Machina,31,27,4,0,0,TRUE
Excalibur,0,0,0,0,0,[]
Executive Decision,0,0,0,0,0,[]
eXistenZ,0,0,0,0,0,[]
Extract,18,0,18,0,0,TRUE
Eyes Wide Shut,0,0,0,0,0,[]
The Fabulous Baker Boys,34,27,7,0,0,TRUE
Face Off,19,13,6,0,0,TRUE
Fair Game,22,20,1,1,0,TRUE
The Family Man,4,1,3,0,0,TRUE
Fantastic Four,0,0,0,0,0,[]
Fantastic Mr Fox,0,0,0,0,0,[]
Fargo,39,36,2,1,0,TRUE
Fast Times at Ridgemont High,16,9,7,0,0,TRUE
Fatal Instinct,3,0,3,0,0,TRUE
The Fault in Our Stars,9,3,6,0,0,TRUE
Fear and Loathing in Las Vegas,63,44,16,3,0,TRUE
Feast,40,18,18,3,1,TRUE
Ferris Bueller's Day Off,25,0,24,1,0,TRUE
Field of Dreams,9,4,4,1,0,TRUE
The Fifth Element,16,8,7,1,0,TRUE
Fight Club,48,32,12,4,0,TRUE
The Fighter,34,23,10,1,0,TRUE
Final Destination,25,20,5,0,0,TRUE
Final Destination 2,36,19,14,3,0,TRUE
Finding Nemo,0,0,0,0,0,[]
Five Easy Pieces,13,1,10,2,0,TRUE
Flash Gordon,1,0,0,1,0,TRUE
Fletch,0,0,0,0,0,[]
Flight,76,54,18,4,0,TRUE
