title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Godfather Part II,5,2,1,2,True,Crime
"Godfather Part III, The",12,3,8,1,True,Crime
Gods and Monsters,18,11,5,2,True,Crime
Godzilla,1,0,1,0,True,Crime
Gone Baby Gone,73,48,19,6,True,Crime
Gone in 60 Seconds,35,9,26,0,True,Crime
"Good Girl, The",7,4,3,0,True,Crime
Good Will Hunting,50,33,14,3,True,Crime
Goodfellas,0,0,0,0,[],Crime
Gothika,20,12,6,2,True,Crime
Grabbers,19,9,9,1,True,Crime
"Graduate, The",0,0,0,0,[],Crime
Gran Torino,55,30,11,14,True,Crime
Grand Hotel,0,0,0,0,[],Crime
Grand Theft Parsons,14,2,8,4,True,Crime
"Grapes of Wrath, The",0,0,0,0,[],Crime
Gravity,6,1,4,1,True,Crime
"Great Gatsby, The",1,0,0,1,True,Crime
"Green Mile, The",22,10,7,5,True,Crime
Gremlins,3,1,1,1,True,Crime
Gremlins 2,1,0,1,0,True,Crime
"Grifters, The",8,3,4,1,True,Crime
Grosse Point Blank,19,18,1,0,True,Crime
Groundhog Day,1,0,1,0,True,Crime
"Grudge, The",0,0,0,0,[],Crime
Guardians of the Galaxy Vol 2,3,0,3,0,True,Crime
Hackers,20,1,18,1,True,Crime
Hall Pass,6,1,5,0,True,Crime
Halloween,26,11,11,4,True,Crime
Halloween: The Curse of Michael Myers,0,0,0,0,[],Crime
Hancock,37,21,14,2,True,Crime
"Hangover, The",13,3,8,2,True,Crime
Hanna,13,7,5,1,True,Crime
Hannah and Her Sisters,1,1,0,0,True,Crime
Hannibal,2,2,0,0,True,Crime
"Happy Birthday, Wanda June",18,6,5,7,True,Crime
Happy Feet,0,0,0,0,[],Crime
Hard Rain,12,2,9,1,True,Crime
Hard to Kill,28,17,10,1,True,Crime
Harold and Kumar Go to White Castle,106,53,51,2,True,Crime
Harry Potter and the Chamber of Secrets,0,0,0,0,[],Crime
Harry Potter and the Deathly Hallows Part 1,0,0,0,0,[],Crime
Harry Potter and the Goblet of Fire,0,0,0,0,[],Crime
Harry Potter and the Half-Blood Prince,0,0,0,0,[],Crime
Harry Potter and the Prisoner of Azkaban,0,0,0,0,[],Crime
Harry Potter and the Sorcerer's Stone,0,0,0,0,[],Crime
"Haunting, The",7,3,3,1,True,Crime
He's Just Not That Into You,16,1,15,0,True,Crime
Heat,51,42,6,3,True,Crime
Heathers,52,26,19,7,True,Crime
Heavenly Creatures,0,0,0,0,[],Crime
Heavy Metal,6,1,3,2,True,Crime
"Hebrew Hammer, The",20,7,11,2,True,Crime
Heist,16,13,2,1,True,Crime
Hellbound: Hellraiser II,0,0,0,0,[],Crime
Hellboy,0,0,0,0,[],Crime
Hellboy 2: The Golden Army,0,0,0,0,[],Crime
Hellraiser,21,11,8,2,True,Crime
Hellraiser 3: Hell on Earth,0,0,0,0,[],Crime
Hellraiser: Deader,0,0,0,0,[],Crime
Hellraiser: Hellseeker,0,0,0,0,[],Crime
"Help, The",6,0,6,0,True,Crime
Henry Fool,24,14,10,0,True,Crime
Henry's Crime,20,10,8,2,True,Crime
Her,33,28,5,0,True,Crime
Hesher,88,68,18,2,True,Crime
High Fidelity,68,59,9,0,True,Crime
Highlander,3,0,1,2,True,Crime
Highlander: Endgame,0,0,0,0,[],Crime
"Hills Have Eyes, The",11,7,3,1,True,Crime
His Girl Friday,0,0,0,0,[],Crime
Hitchcock,0,0,0,0,[],Crime
"Hitchhiker's Guide to the Galaxy, The",1,0,1,0,True,Crime
Hollow Man,32,15,17,0,True,Crime
Honeydripper,1,0,1,0,True,Crime
Horrible Bosses,60,40,16,4,True,Crime
"Horse Whisperer, The",8,1,7,0,True,Crime
"Hospital, The",7,1,1,5,True,Crime
Hostage,62,45,16,1,True,Crime
